PRODUCTO,SUM de UNIDADES,SUM de INGRESO,SUM de COSTO_TOTAL,SUM de UTILIDAD,MARGEN REAL,CLASIFICASIÓN,
,0,0,0,0,,,
Edición Especial de Temporada,319,"$63,800.00","$38,280.00","$25,520.00",40.00%,★★★☆☆,BUEN PRODUCTO
Galletas Finas,381,"$34,290.00","$20,955.00","$13,335.00",38.89%,★★★☆☆,BUEN PRODUCTO
Mermelada Clásica de Fresa,226,"$27,120.00","$19,210.00","$7,910.00",29.17%,★★★☆☆,BUEN PRODUCTO
Mermelada de Durazno y Cardamomo,269,"$40,350.00","$24,210.00","$16,140.00",40.00%,★★★☆☆,BUEN PRODUCTO
Mermelada Premium de Vino Tinto,323,"$71,060.00","$30,685.00","$40,375.00",56.82%,★★★★★,ESTRELLA
Miel Natural,115,"$14,950.00","$8,050.00","$6,900.00",46.15%,★★★★☆,OPORTUNIDAD
Mix Regalo,90,"$22,500.00","$17,100.00","$5,400.00",24.00%,★☆☆☆☆,PROBLEMA
Panqué Artesanal,415,"$33,200.00","$24,900.00","$8,300.00",25.00%,★★☆☆☆,ENGAÑO
Salsa Artesanal,131,"$13,100.00","$8,515.00","$4,585.00",35.00%,★★★☆☆,BUEN PRODUCTO
Té Gourmet,194,"$34,920.00","$11,640.00","$23,280.00",66.67%,★★★★☆,OPORTUNIDAD
Suma total,2463,"$355,290.00","$203,545.00","$151,745.00",42.71%,☆☆☆☆☆,